Date,Open,High,Low,Close
2004-08-19,20.46, 20.46,20.45, 20.45
2004-08-19,20.46, 20.47,20.44, 20.45
2004-08-19,20.46, 20.48,20.43, 20.45
2004-08-19,20.46, 20.49,20.42, 20.45
2004-08-19,20.46, 20.50,20.41, 20.45
2004-08-19,20.46, 20.47,20.45, 20.45
2004-08-19,20.46, 20.48,20.45, 20.45
2004-08-19,20.46, 20.49,20.45, 20.45
2004-08-19,20.46, 20.50,20.45, 20.45
2004-08-19,20.46, 20.46,20.44, 20.45
2004-08-19,20.46, 20.46,20.43, 20.45
2004-08-19,20.46, 20.46,20.42, 20.45
2004-08-19,20.46, 20.46,20.41, 20.45
2004-08-19,20.46, 20.48,20.44, 20.45
2004-08-19,20.46, 20.49,20.44, 20.45
2004-08-19,20.46, 20.50,20.44, 20.45
2004-08-19,20.46, 20.51,20.44, 20.45
2004-08-19,20.46, 20.47,20.43, 20.45
2004-08-19,20.46, 20.47,20.42, 20.45
2004-08-19,20.46, 20.47,20.41, 20.45
2004-08-19,20.46, 20.47,20.40, 20.45
2004-08-19,20.45, 20.46,20.45, 20.46
2004-08-19,20.45, 20.47,20.44, 20.46
2004-08-19,20.45, 20.48,20.43, 20.46
2004-08-19,20.45, 20.49,20.42, 20.46
2004-08-19,20.45, 20.50,20.41, 20.46
2004-08-19,20.45, 20.47,20.45, 20.46
2004-08-19,20.45, 20.48,20.45, 20.46
2004-08-19,20.45, 20.49,20.45, 20.46
2004-08-19,20.45, 20.50,20.45, 20.46
2004-08-19,20.45, 20.46,20.44, 20.46
2004-08-19,20.45, 20.46,20.43, 20.46
2004-08-19,20.45, 20.46,20.42, 20.46
2004-08-19,20.45, 20.46,20.41, 20.46
